ID,Mass,RT,22-72b1-silique-NL-0V,22-72b1-silique-NL-10V,22-72b1-silique-NL-15V,22-72b1-silique-NL-20V,22-72b1-silique-NL-25V,22-72b1-silique-NL-30V,22-72b1-silique-NL-35V,22-72b1-silique-NL-40V,22-72b1-silique-NL-45V,22-72b1-silique-NL-0V
84,386.1211,3.6,339416.7068,235565.0411,111525.5631,69139.26783,59711.43363,48267.8369,42803.0966,33632.15016,31744.16685,339416.7068
85,116.0111,1.32,450732.5984,117315.9208,106845.1361,82321.91583,67615.94638,41808.67679,35063.02542,23610.43176,20470.02643,450732.5984
86,482.2643,13.54,565403.1347,602054.2249,542451.9741,369423.7292,283342.6609,253153.0115,243030.6195,218004.23,202532.1747,565403.1347
87,478.0711,4.5,354278.8524,245018.7641,157078.3421,124393.9673,130346.0656,130428.8868,110422.2487,92461.20815,74794.98474,354278.8524
88,673.1481,3.45,280090.3257,90075.49648,14008.11197,3339.351393,2094.026034,1576.459626,1295.579102,1510.38047,1,280090.3257
89,484.2796,14.12,446753.8979,507264.0015,494980.5308,361345.1901,250960.1672,227636.7117,241637.3279,234542.2312,219729.3826,446753.8979
90,294.2194,12.19,342250.646,255912.7347,137469.1301,55731.53077,83618.55186,88859.07813,105066.6445,156894.2135,107157.5213,342250.646
91,280.2404,14.37,179984.9041,1098196.798,2651294.638,2894261.266,3182535.278,3132549.121,1657726.086,631479.8166,1539934.837,179984.9041
92,285.0399,3.63,1,2281.548562,2805.191324,70734.21071,166884.6515,28235.63809,143662.8552,373131.9137,619352.2324,1
93,580.1422,4.07,320425.5463,460540.7851,524457.7706,538383.3875,450559.4261,315917.3977,257283.824,235761.923,186915.6505,320425.5463
94,302.0425,3.43,1,1,2210.484648,13448.34781,82914.83646,244713.7293,410621.039,578965.7784,655448.5138,1
95,276.0289,0.98,205492.5847,191622.8595,111777.2108,31783.97673,7059.818698,1746.982544,1,1,1,205492.5847
96,117.9358,21.36,229019.5755,215806.2433,126933.6586,56194.74993,32541.4845,25857.96713,24817.51797,17140.4306,14461.46789,229019.5755
97,122.0368,5.4,361609.928,254766.8376,234982.1666,231822.2527,223202.0343,233607.4895,223831.2206,229234.867,218964.848,361609.928
98,302.0425,3.87,1830.83313,1,1,1,36658.81273,128767.9523,226470.6212,319709.6579,348131.2879,1830.83313
99,342.0919,2.01,279463.4238,285117.8531,290999.9694,229699.4659,135724.3128,45359.0565,19060.82409,16824.06281,15821.37482,279463.4238
100,794.4804,13.9,479493.0338,99619.71691,33946.79951,17886.51414,10079.52904,8481.014693,6125.745026,6733.822675,6405.482289,479493.0338
101,657.1537,4.35,347476.4835,62760.20662,9491.428534,3942.313321,3298.454773,7359.357846,2861.247833,4239.763289,2807.949994,347476.4835
102,866.2055,3.9,958034.775,1007087.159,938120.3127,725539.8648,511754.4494,346602.4489,325626.9577,303452.4004,274571.797,958034.775
103,722.3724,11.45,550272.1304,133710.3547,16387.95365,1,1,1,1,2885.212028,2108.940774,550272.1304
104,116.011,1.2,180810.7876,247529.9614,108716.1902,52019.95883,57282.84297,87261.64215,80676.5854,63767.28671,44212.44317,180810.7876
105,874.4197,10.64,208873.3567,88006.39056,25607.48926,7420.067306,5736.942133,4241.077718,3512.86077,3636.500644,2945.057925,208873.3567
106,286.0477,4.3,1,2396.965447,2730.058845,24000.30313,129385.1087,309699.4475,464501.2542,549650.7267,529140.4895,1
107,966.5541,13.81,343753.2637,455149.1641,462041.9895,458445.92,347591.3352,190333.3178,83222.27761,45629.56613,41791.25242,343753.2637
108,451.0637,1.27,283688.3714,301484.6483,274582.2846,165043.6018,104153.4343,140448.6305,132857.6582,151730.2263,126437.337,283688.3714
109,754.4133,12.39,405413.9594,72748.11633,17417.84944,12064.59246,8146.990653,7641.306138,3702.40768,4933.418945,3958.762236,405413.9594
110,422.2433,15.32,1322399.158,685246.2484,152856.519,205485.0384,230606.6075,272050.6999,180710.5454,153223.0307,118408.2088,1322399.158
111,316.0582,4.55,1,4642.985883,5595.847522,10881.69745,47891.70747,139300.6639,213344.6679,251428.316,256624.5156,1
112,324.1419,2.77,537171.3588,504929.6933,340967.5165,240976.4052,212217.1928,189367.8932,145728.8404,101424.4146,71223.57292,537171.3588
113,122.0365,5.02,39007.4126,138507.7997,167768.1518,249721.7096,440339.5661,618236.5775,632763.6689,638975.8797,717303.0537,39007.4126
114,358.1261,3.31,461347.9231,282113.9259,203187.7181,161285.3616,87065.24479,41459.83997,20428.78135,6762.395747,4025.682492,461347.9231
115,116.011,1.02,209636.9835,208247.6407,116016.4143,149566.5111,196964.9935,229553.2057,199438.2191,151106.4413,45057.43373,209636.9835
116,464.0949,4.79,228230.3534,347678.0548,339454.6908,265932.3185,214380.0118,207011.4336,203759.7378,192932.1874,177286.3846,228230.3534
117,449.2622,14.46,1001463.437,927439.5732,537314.1841,123464.8304,206214.0299,209690.1309,204930.0273,114099.4833,157150.9987,1001463.437
118,456.2357,7.06,404072.2245,213034.7454,255467.6513,287420.5394,210990.7899,148095.9434,78282.76078,40385.1319,25563.9326,404072.2245
