ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
5188,296.235,10.55,2310.138853,2202.335342,26040.98496,2981.956251,2204.529632,1,1,2564.219602,1,1383.163574
5189,558.1861,4.81,5340.576924,5757.824787,6093.430391,4510.204341,6274.636457,11043.57954,12554.84543,10930.7284,13636.22051,11404.89539
5190,822.3312,5.7,38416.50666,29085.72188,35613.61752,39858.84049,31961.20082,9108.985883,11143.4961,10155.92773,8307.059012,11949.38864
5191,504.257,6.74,16543.23395,15368.01381,13638.63801,17854.32942,15236.43908,4055.496634,3282.382687,3416.326705,3206.209434,4611.997826
5192,580.2715,8.14,8451.7344,16071.60837,13308.73366,8287.547551,10583.69543,2623.898682,2822.322325,5178.651499,3120.68675,3757.997293
5193,820.4626,13.18,23838.4874,16137.49763,25861.12942,18142.50672,17526.06825,4770.879053,1,9606.441267,1,1
5194,340.0429,3.91,15785.43436,16239.54737,14616.48141,12371.35203,10084.34414,4796.394722,5077.618164,5139.837891,5649.988206,5603.025211
5195,296.9771,5.83,3829.684082,3837.117676,3425.366455,3802.480469,4479.617188,1642.453125,4342.970215,5419.035156,2807.301758,5180.803223
5196,550.2902,12.65,11126.71216,16195.17113,14760.75505,9020.961132,12065.94367,6622.011378,4236.757169,4977.014348,4936.82507,4686.948535
5197,810.4019,10.67,6457.03275,8863.351872,6174.641211,5085.885905,4809.90353,1,3039.356424,2900.214828,2383.303833,2501.284842
5198,332.1105,3.72,9384.448459,10993.48714,13859.01259,10951.08994,11067.28559,1317.714111,1666.260606,1931.251412,1,2004.737594
5199,640.1671,6.88,18959.98997,17349.16381,18918.56161,21488.99217,23182.42341,5995.958244,6082.535367,6438.976809,7583.376135,5962.159911
5200,550.313,13.25,36118.06003,26016.61193,52231.57295,35372.28031,16416.45078,1993.043836,1,7827.181783,1824.137321,5471.338203
5201,673.148,3.94,181322.0387,171805.8127,168214.5806,193340.0501,186803.8916,214592.3879,224856.3662,232227.5686,221114.0609,221088.9514
5202,552.1832,4.19,10469.88477,9668.844295,10176.72501,10060.66334,11146.56029,10356.87787,5337.028196,5964.260475,6561.648559,4993.244815
5203,338.0944,2.79,20685.56654,26102.88555,21465.80995,22443.6992,21980.31035,2516.538867,3969.466456,3130.078626,3889.467082,2998.02611
5204,162.0893,2.78,21565.92392,24000.72638,4028.061695,22579.47779,23242.03409,14171.27433,15538.44512,16185.84111,15192.56764,16031.28828
5205,902.4421,12.23,25419.57288,46825.0551,26842.34754,22047.56186,27293.24579,3334.249484,5665.522894,6547.612618,5391.15509,1
5206,328.2246,8.61,5501.5991,8360.947865,4926.941474,5443.172235,3802.071175,1422.83252,1,1152.636597,1,1
5207,756.9959,4.47,4074.471191,2430.101147,4398.507796,4129.78547,4791.934365,15113.81133,19282.70161,16234.45725,12970.11681,12823.2469
5208,450.2377,11.49,15219.81299,23968.96513,14727.64634,17611.58045,8033.497209,1054.321304,1279.33165,2499.820077,1,2256.578751
5209,574.2507,12.43,4475.882574,3770.81132,4081.492609,8839.97128,9714.677189,22031.64773,16860.36967,12683.45038,18111.43555,16342.77118
5210,474.1731,6.65,10942.16724,12062.0065,12539.24406,12323.90909,12526.62455,6353.516664,6219.715447,4834.099314,6872.340336,4973.983023
5211,814.4605,15.73,1,14549.35566,1,1,1,1,28079.6653,35610.90408,1,1
5212,450.2379,11.38,21068.64946,22201.23332,18970.75946,23575.12681,13734.77123,1,1,1,3996.552729,1
5213,890.5225,9.63,38459.49034,35055.99729,24712.81143,12699.3739,16761.25888,3738.325567,9225.101936,6861.790057,5618.138822,6426.42605
5214,402.1159,3.14,22631.38587,23612.82134,19554.79502,26976.92138,17272.35881,3546.96362,3005.090742,4078.007063,2286.280483,4252.91234
5215,496.2432,10.09,36603.47129,49756.05297,22188.80632,8331.242006,19151.75297,3486.369955,1723.476635,5027.156404,4753.774306,8487.471648
5216,195.0385,5.83,6075.030762,6604.463379,5757.023926,5188.5,3368.588867,1038.296753,1735.455078,2980.598145,1644.515259,3292.148438
5217,576.2815,4.81,15374.42891,1,15502.47995,32296.45898,19355.06104,34567.25591,32908.67545,2730.79407,1,3050.096071
5218,344.256,10.24,9118.218242,13630.46435,14463.49847,13926.973,13196.59385,1505.282715,1677.91145,2697.154415,1883.360052,1394.698217
5219,338.0849,1.24,15686.78566,13418.54431,12061.24028,14647.82167,11119.62036,3314.547958,3740.353578,4128.025956,2205.667089,3076.582511
5220,613.2665,7.87,17341.57954,14759.32096,23369.92282,27694.85263,21374.58082,1,1,5093.394507,1,2399.246669
5221,468.2354,9.68,15023.38168,15835.44936,12887.29023,17551.55462,12919.83762,2261.665463,2786.719794,3097.859228,3032.878295,2472.106098
5222,910.4604,10.41,17013.07976,25398.58652,25338.02623,23127.24361,12285.3933,2580.390796,1,3907.317404,3916.11179,3380.890872
5223,384.1075,0.91,23417.50524,27003.50226,20442.84587,16441.9276,19877.38631,5677.865031,6149.172457,7721.104144,3991.2373,4689.250113
5224,348.178,5.13,34252.55472,35545.5708,32291.42914,33534.05248,33406.77229,1612.282519,2505.978558,2457.393726,1709.615836,2415.994722
5225,330.0945,3.83,24755.33761,16620.03218,19035.11532,19567.72295,17303.62372,4461.885244,4695.279169,5274.622115,4641.430913,4664.43347
5226,760.4854,14.97,18383.21109,5262.766029,4560.142299,2279.102034,8426.359375,21064.47852,30309.25391,39635.85654,35487.95082,29630.31744
5227,456.2357,6.86,50285.11422,55622.91818,66888.90074,54756.67874,63416.26289,18814.81142,17473.06985,16448.76469,19313.30486,18733.09918
5228,537.2048,4.64,24829.88912,20030.01876,23639.94269,22690.51207,21212.18077,7150.236712,6866.823435,6621.329282,6630.185069,7597.677745
5229,122.0367,3.16,1,1,1,1,1,1,1,1,1,1
5230,432.1044,4.74,3339.496637,4345.671238,3360.482801,3742.279444,4365.08328,4205.864831,4443.465027,5597.101046,5966.757724,4851.774688
5231,746.496,17.98,8915.521748,8936.764328,11647.78988,8413.849756,3786.210917,5424.894612,7859.737533,7118.350764,3870.640514,7445.790792
5232,224.0681,6.17,1,5219.669801,6738.103376,1,5369.114556,2402.284868,1,1,1,1
5233,520.1577,7.08,12666.85046,13288.14985,17131.666,12408.1494,20818.04894,6068.339945,6562.328349,6386.177955,6319.586729,5657.186359
5234,520.2433,8.8,15282.29113,18541.83842,12172.1363,21290.65563,11219.79793,1,1,2511.444533,1164.918859,1662.244499
5235,812.4185,11.98,38400.83511,32253.16521,27934.12663,25147.55099,43753.94743,3668.039396,4129.424468,9164.442813,3543.269856,9450.922909
5236,656.2895,3.68,1,3145.92146,1,1,1,17642.19423,12424.36043,16089.65388,16621.85,14924.89005
5237,903.2421,4.05,13307.63137,9270.660951,11611.34794,12295.56534,1,7411.203394,5865.123748,6336.659758,8095.856952,7246.240743
5238,132.0422,6.95,18698.19623,16552.50828,16747.03581,20230.47235,17807.63735,2772.939559,2985.498772,3751.346519,3333.772794,3284.559045
5239,824.491,13.72,37164.07642,36302.79847,34320.32029,72106.96078,221663.7747,55717.04836,136696.2224,126698.0888,109510.5431,142361.9832
5240,864.4867,13.25,19118.73676,19424.80248,25268.40797,22727.2426,122829.2559,7010.984511,13609.91418,40615.81751,10749.6666,19154.40613
5241,948.1816,5.47,2660.027188,3643.078966,3100.156741,1,2289.891014,33766.89081,30900.55864,18122.49805,31274.88021,22005.56831
5242,512.2381,7,16224.2807,30764.19118,18295.03409,5592.625843,13762.49243,1841.556051,2158.858489,2775.144225,2849.473877,2997.798138
